"paper_id","arxiv_id","s2_paper_id","title","authors","year","venue","abstract","source","categories","citation_count","url","doi","published_date","crawled_date","keep","notes"
"doi:10.1109/MM.2023.3237548","2301.07492","6111aad22d23849c234dd0d3c10236e780129279","Failure Tolerant Training With Persistent Memory Disaggregation Over CXL","Miryeong Kwon","2023","IEEE-MICRO","This article proposes TrainingCXL that can efficiently process large-scale recommendation datasets in the pool of disaggregated memory while making training fault tolerant with low overhead. To this end, we integrate persistent memory (PMEM) and graphics processing unit (GPU) into a cache-coherent domain as type 2. Enabling Compute Express Link (CXL) allows PMEM to be directly placed in GPU’s memory hierarchy, such that GPU can access PMEM without software intervention. TrainingCXL introduces computing and checkpointing logic near the CXL controller, thereby training data and managing persistency in an active manner. Considering PMEM’s vulnerability, we utilize the unique characteristics of recommendation models and take the checkpointing overhead off the critical path of their training. Finally, TrainingCXL employs an advanced checkpointing technique that relaxes the updating sequence of model parameters and embeddings across training batches. The evaluation shows that TrainingCXL achieves 5.2× training performance improvement and 76% energy savings, compared to the modern PMEM-based recommendation systems.","dblp","Computer Science","12","https://doi.org/10.1109/MM.2023.3237548","10.1109/MM.2023.3237548","2023-01-14","2026-04-08","",""
"doi:10.1109/MM.2023.3235770","","a63b24aa6ae4b209e48a28b23f327a1113b369a7","System on a Package Innovations With Universal Chiplet Interconnect Express (UCIe) Interconnect","Debendra Das Sharma","2023","IEEE-MICRO","Universal Chiplet Interconnect Express (UCIe) is an open industry standard interconnect for developing an open chiplet ecosystem, where chiplets from any supplier can be packaged anywhere in an interoperable manner. This article delves into the architectural and protocol aspects that we developed and have been adopted in the UCIe 1.0 specification. We present our results on these aspects based on our implementation studies.","dblp","Computer Science","19","https://doi.org/10.1109/MM.2023.3235770","10.1109/MM.2023.3235770","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3237927","","6eb8501c658d0c914f12a4c4230e9050aeda1a14","Photonic Network-on-Wafer for Multichiplet GPUs","Shiqing Zhang","2023","IEEE-MICRO","This article introduces the photonic network-on-wafer graphics processing unit (GPU) architecture to overcome fundamental limitations in electrical interconnect scaling by implementing the inter-GPU network in a wafer-scale optical interposer. We argue that the photonic-NoW GPU is a scalable architecture, delivering significant performance benefits in a power-efficient manner.","dblp","Computer Science","10","https://doi.org/10.1109/MM.2023.3237927","10.1109/MM.2023.3237927","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3241798","","dc53be7738bf4e1a9fe9f47fde9ec7982813098f","Special Issue on Hot Interconnects 29","Scott Levy","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3241798","10.1109/MM.2023.3241798","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2022.3228561","","5e5726e7b9970d932d228423d73edc52d5027aca","Compute Express Link (CXL): Enabling Heterogeneous Data-Centric Computing With Heterogeneous Memory Hierarchy","Debendra Das Sharma","2023","IEEE-MICRO","Compute Express Link is an open industry standard interconnect offering caching and memory semantics on top of peripheral component interconnect-Express, with resource pooling and fabric capabilities. In addition to providing high-bandwidth and low-latency connectivity between host processor and accelerators, smart network interface cards, and memory expansion devices, it also enables resource pooling across multiple systems for scalable, power-efficient, and cost-effective computing. This article delves into the microarchitectural design to deliver power-efficient performance based on our experience designing a Xeon central processing unit and field-programmable gate array with this technology with demonstrated silicon interoperability.","dblp","Computer Science","51","https://doi.org/10.1109/MM.2022.3228561","10.1109/MM.2022.3228561","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3238012","","99f301129e2ba4bd162bb5e3b06b0e05cfe15e41","A Parallel and Updatable Architecture for FPGA-Based Packet Classification With Large-Scale Rule Sets","Yao Xin","2023","IEEE-MICRO","As a programmable hardware, field-programmable gate array (FPGA) provides more opportunities for algorithmic network packet classification. Despite more than 10 years of research, the most actively investigated pipeline architectures still struggle to support fast rule search and efficient rule update for large-scale rule sets. In this article, we design and implement a novel architecture for multitree-based packet classification on FPGA, where the search and update processes are decoupled. A strategy of multi-processing elements (PEs), parallel search, and serial update is adopted. The parsing of multiple tree search results adopts a modular and hierarchical design, supporting architecture with various tree numbers. In addition, incremental rule updates can be achieved simply by traversing all PEs in one pass, with little and bounded impact on rule searching. Compared with TcbTree, the state-of-the-art updatable classifier, the experimental results on FPGA show that the classification performance of our design improves 3.4× on average for various 100k-scale rule sets.","dblp","Computer Science","10","https://doi.org/10.1109/MM.2023.3238012","10.1109/MM.2023.3238012","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3241133","","b39a24e71d3b10e849e091554a734cdd8768ab13","Network-Assisted Noncontiguous Transfers for GPU-Aware MPI Libraries","Kaushik Kandadi Suresh","2023","IEEE-MICRO","The importance of graphics processing units (GPUs) in accelerating HPC applications is evident by the fact that a large number of supercomputing clusters are GPU enabled. Many of these HPC applications use message passing interface (MPI) as their programming model. These MPI applications frequently exchange data that is noncontiguous in GPU memory. MPI provides derived datatypes (DDTs) to represent such data. Past research on DDTs mainly focused on optimizing the pack–unpack kernels. Modern HCAs are capable of gathering/scattering data from/to noncontiguous GPU memory regions. We propose a low-overhead HCA-assisted scheme to improve the performance of GPU-based noncontiguous exchanges without the GPU-based pack–unpack kernels. We show that the proposed scheme provides up to 2× benefits compared to the existing pack-based scheme at the benchmark level. Furthermore, we show up to 17% improvement with the SW4Lite application compared to other MPI libraries, such as MVAPICH2-GDR and OpenMPI+UCX.","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3241133","10.1109/MM.2023.3241133","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3242036","","5c37ffdc74e894797ff280cade922bf5e92c5736","Butterfly Effects and Legacies","Shane Greenstein","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3242036","10.1109/MM.2023.3242036","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3241840","","94d7fe73c0308cca30b56340c4e57956c264c6a9","Monitoring InfiniBand Networks to React Efficiently to Congestion","Alberto Cascajo","2023","IEEE-MICRO","Current high-performance interconnection networks for high-performance computing and data-center systems incorporate mechanisms to prevent congestion from degrading network performance. Specifically, the popular InfiniBand specification defines a mechanism to reduce the injection rate of the traffic flows contributing to congestion. However, the efficiency of this mechanism depends on the values configured for certain parameters, that may be suitable for some congestion situations but not for others. Therefore, we think that these parameters should be reconfigured dynamically, based on accurate and updated information about the actual status of congestion. For that purpose, we have combined a light-weight platform monitoring tool (LIMITLESS) with the InfiniBand control software (OpenSM), so that the former provides the latter with enhanced knowledge about congestion to appropriately reconfigure the parameters driving the behavior of the congestion-control mechanism. Experiments performed in a real InfiniBand-based cluster confirm that this approach significantly reduces the number of wrong reactions to the congestion-control mechanism.","dblp","Computer Science","2","https://doi.org/10.1109/MM.2023.3241840","10.1109/MM.2023.3241840","2023-03-01","2026-04-08","",""
"doi:10.1109/MM.2023.3267179","","7395e417e30ca2609e946ae2b47747abcd994ee9","Hot Chips 34 and More!","Lizy Kurian John","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3267179","10.1109/MM.2023.3267179","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3264401","","de23976103e0f6deed0f99f9154f634c484b8965","Special Issue on Hot Chips 34","Ron Diamant","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3264401","10.1109/MM.2023.3264401","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3256796","","ed734578bf467a51b72ea8d0da2b81e1a6364346","NVIDIA Hopper H100 GPU: Scaling Performance","Jack Choquette","2023","IEEE-MICRO","The H100 Tensor Core GPU is NVIDIA’s latest flagship GPU. It has been designed to provide industry leading performance for high-performance computing, artificial intelligence, and data analytics datacenter workloads. Notable new features include a fourth-generation Tensor Core, new Tensor Memory Accelerator unit, a new CUDA cluster capability, and HBM3 dynamic random-access memory.","dblp","Computer Science","151","https://doi.org/10.1109/MM.2023.3256796","10.1109/MM.2023.3256796","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3256384","","e20b2f83f7993446382f72aacc500319465bca2b","Cerebras Architecture Deep Dive: First Look Inside the Hardware/Software Co-Design for Deep Learning","Sean Lie","2023","IEEE-MICRO","The compute and memory demands for deep learning and machine learning (ML) have increased by several orders of magnitude in just the last couple of years, and there is no end in sight. Traditional improvements in processor performance alone struggle to keep up with the exponential demand. A new chip architecture co-designed with the ML algorithms can be better equipped to satisfy this unprecedented demand and enable the ML workloads of the future. This article describes the Cerebras architecture and how it is designed specifically with this purpose, from the ground up, as a wafer-sized chip to enable emerging extreme-scale ML models. It uses fine-grained data flow compute cores to accelerate unstructured sparsity, distributed static random-access memory for full memory bandwidth to the data paths, and a specially designed on-chip and off-chip interconnect for ML training. With these techniques, the Cerebras architecture provides unique capabilities beyond traditional designs.","dblp","Computer Science","66","https://doi.org/10.1109/MM.2023.3256384","10.1109/MM.2023.3256384","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3258906","","9a90de35640ae81d62c2598fd3a805e1703d989a","The Microarchitecture of DOJO, Tesla's Exa-Scale Computer","Emil Talpes","2023","IEEE-MICRO","The Tesla-built DOJO system is a scalable solution targeted towards machine learning training applications. It is based on the D1 custom compute chip which packs together 354 independent processors, resulting in 362 TFLOPS of compute and 440 MB of internal static random-access memory storage. While maintaining full programmability, DOJO emphasizes distribution of resources and an extremely high bandwidth interconnect, allowing it to scale from small systems all the way to exaFLOP supercomputers.","dblp","Computer Science","36","https://doi.org/10.1109/MM.2023.3258906","10.1109/MM.2023.3258906","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3260186","","58e95d02b28566c5f658a759b11ab32c778d10bf","The AMD 400-G Adaptive SmartNIC System on Chip: A Technology Preview","Jaideep Dastidar","2023","IEEE-MICRO","This article presents the AMD 400-G Adaptive Smart Network Interface Card (SmartNIC) system on chip (SoC), a domain-specific architecture for offload acceleration of multitenant cloud network and storage applications. The article introduces the motivating factors behind SmartNIC and data processing unit accelerators in the datacenter. The article then describes how and why the adaptive SoC aims to strike a balance among software processing on embedded processors, fast-path application-specific integrated circuit-like processing on hardened logic, and adaptive and composable processing on an integrated field-programmable gate array. In architecting various subsystems of an SoC, the article describes how the device adapts to varying workloads over time through a dynamic function exchange of programmable logic (PL) and adapts to varying workloads over space by having different hardware execution pipelines executing alongside different PL binaries. The article also describes how security attestation and authentication, firewalls, and cryptographic acceleration permeate the device for a robust, multitenant confidential compute environment.","dblp","Computer Science","9","https://doi.org/10.1109/MM.2023.3260186","10.1109/MM.2023.3260186","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3264676","","eec752fe136698d86ccebf0c00de0a9791054cd0","The Arm Morello Evaluation Platform - Validating CHERI-Based Security in a High-Performance System","Richard Grisenthwaite","2023","IEEE-MICRO","Memory safety issues are a persistent source of security vulnerabilities, with conventional architectures and the C/C++ codebase chronically prone to exploitable errors. The Capability Hardware Enhanced RISC Instructions (CHERI) research project has explored a novel architectural approach to ameliorate such issues using unforgeable hardware capabilities to implement pointers. Morello is an Arm experimental platform for evaluation of CHERI in the Arm architecture context to explore its potential for mass-market adoption. This article describes the Morello Evaluation Platform, covering the motivation and functionality of the Morello architectural hardware extensions; their potential for fine-grained memory safety and software compartmentalization; formally proven security properties; impact on the microarchitecture of the high-performance, out-of-order multiprocessor Arm Morello processor; and the software-enablement program by Arm, the University of Cambridge, and Linaro. Together, this allows a wide range of researchers in both industry and academia to explore and assess the Morello platform.","dblp","Computer Science","14","https://doi.org/10.1109/MM.2023.3264676","10.1109/MM.2023.3264676","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3255864","","e0c742fd17ec9b2696b300ca0281517fa59bc085","speedAI240: A 2-Petaflop, 30-Teraflops/W At-Memory Inference Acceleration Device With 1456 RISC-V Cores","Martin Snelgrove","2023","IEEE-MICRO","The speedAI family of devices is Untether AI’s second-generation at-memory compute architecture specifically designed for the acceleration of neural networks. Untether AI achieves state-of-the-art efficiency by minimizing the cost of data movement with its at-memory compute architecture, combined with innovative data types and purpose-built on-chip networking. The result is an industry-best 2000 tera-floating point operations per second (TFLOPS) per chip with an energy efficiency of 30 TFLOPS/W.","dblp","Computer Science","4","https://doi.org/10.1109/MM.2023.3255864","10.1109/MM.2023.3255864","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3258907","","f61039661b26ed4b8b8ffcc40f41dafae2995655","HALO: A Hardware-Software Co-Designed Processor for Brain-Computer Interfaces","Karthik Sriram","2023","IEEE-MICRO","Brain–computer interfaces (BCIs) enable direct communication with the brain, providing valuable information about brain function and enabling novel treatment of brain disorders. Our group has been building Hardware Architecture for Low-power BCIs (HALO), a flexible and ultralow-power processing architecture for BCIs. HALO can process up to 46 Mbps of neural data, a significant increase over the interfacing bandwidth achievable by prior BCIs. HALO can also be programmed to support several applications, unlike most prior BCIs. Key to HALO’s effectiveness is a hardware accelerator cluster, where each accelerator operates within its own clock domain. A configurable interconnect connects the accelerators to create data flow pipelines that realize neural signal processing algorithms. We have taped-out our design in a 12-nm CMOS process. The resulting chip runs at 0.88 V, per-accelerator frequencies of 3–180 MHz, and consumes, at most, 5 mW for each signal processing pipeline. Evaluations using electrophysiological data collected from a nonhuman primate confirm HALO’s flexibility and superior performance per watt.","dblp","Computer Science","5","https://doi.org/10.1109/MM.2023.3258907","10.1109/MM.2023.3258907","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3255502","","ed25afd0e485fe74be411d001cd5488a72b68d01","A Mobile 3-D Object Recognition Processor With Deep-Learning-Based Monocular Depth Estimation","Dongseok Im","2023","IEEE-MICRO","A 3-D object recognition system is a heavy task that consumes high sensor power and requires complex 3-D data processing. In this article, the proposed processor produces 3-D red, green, blue, and depth (RGB-D) data from an RGB image through a deep learning-based monocular depth estimation, and then its RGB-D data are sporadically calibrated with low-resolution depth data from a low-power depth sensor, lowering the sensor power by 27.3 times. Then, the proposed processor accelerates various convolution operations in the system by integrating the in-out skipping-based bit-slice-level computing processing elements and flexibly allocating workloads considering data properties. Moreover, the point feature (PF) aggregator is designed close to the global memory to support the PF reuse algorithm’s data aggregation. Additionally, the window-based search algorithm and its memory management are presented for efficient point processing in the point processing unit. Consequently, the 210-mW and 34-frames-per-second end-to-end 3-D object recognition processor is successfully demonstrated.","dblp","Computer Science","2","https://doi.org/10.1109/MM.2023.3255502","10.1109/MM.2023.3255502","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3263340","","68891b860e84d4cc7d9f7fd3fb89c6d095ca559e","Bank Runs Without the Wisdom of the Crowds","Shane Greenstein","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3263340","10.1109/MM.2023.3263340","2023-05-01","2026-04-08","",""
"doi:10.1109/MM.2023.3278128","","22970934c190cd137eb387852f8cf0735e34d02b","Top Picks From Computer Architecture Conferences!","Lizy Kurian John","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3278128","10.1109/MM.2023.3278128","2023-07-01","2026-04-08","",""
"doi:10.1109/MM.2023.3278069","","d9696382a12c9a332e82978ac25f346a1fbc94b3","Special Issue on Top Picks From the 2022 Computer Architecture Conferences","Christopher Batten","2023","IEEE-MICRO","[abstract unavailable]","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3278069","10.1109/MM.2023.3278069","2023-07-01","2026-04-08","",""
"doi:10.1109/MM.2023.3273189","","","PACMAN: Attacking ARM Pointer Authentication With Speculative Execution","Joseph Ravichandran","2023","IEEE-MICRO","[abstract unavailable]","dblp","","0","https://doi.org/10.1109/MM.2023.3273189","10.1109/MM.2023.3273189","","2026-04-08","",""
"doi:10.1109/MM.2023.3274619","","ab3f12269e39919c1fb7928e4a66010c41b3c114","Hertzbleed: Turning Power Side-Channel Attacks Into Remote Timing Attacks on x86","Yingchen Wang","2023","IEEE-MICRO","Power side-channel attacks exploit data-dependent variations in a CPU’s power consumption to leak secrets. In this article, we show that on modern CPUs, power side-channel attacks can be turned into timing attacks that can be mounted without access to any power measurement interface. This discovery exploits how, under certain circumstances, the dynamic frequency scaling of modern x86 CPU depends on the current power consumption (and hence, data). We demonstrate that this “frequency side channel” is a real threat to the security of cryptographic software. First, we reverse engineer the dependency between data, power, and frequency on a modern x86 CPU—finding, among other things, that differences as small as a set bit’s position in a word can be distinguished through frequency changes. Second, we describe a novel chosen-ciphertext attack against (constant-time implementations of) supersingular isogeny key encapsulation that allows full key extraction via remote timing.","dblp","Computer Science","133","https://doi.org/10.1109/MM.2023.3274619","10.1109/MM.2023.3274619","2023-07-01","2026-04-08","",""
"doi:10.1109/MM.2023.3273457","","","There's Always a Bigger Fish: A Clarifying Analysis of a Machine-Learning-Assisted Side-Channel Attack","Jack Cook","2023","IEEE-MICRO","[abstract unavailable]","dblp","","0","https://doi.org/10.1109/MM.2023.3273457","10.1109/MM.2023.3273457","","2026-04-08","",""
"doi:10.1109/MM.2023.3273009","","","Revizor: Testing Black-Box CPUs Against Speculation Contracts","Oleksii Oleksenko","2023","IEEE-MICRO","[abstract unavailable]","dblp","","0","https://doi.org/10.1109/MM.2023.3273009","10.1109/MM.2023.3273009","","2026-04-08","",""
"doi:10.1109/MM.2023.3275079","","b53a8ffff774d25b5fc9ababd36e94fbd2deabec","Effective Mimicry of Bélády's MIN Policy","Ishan Shah","2023","IEEE-MICRO","This article introduces the Mockingjay cache replacement policy, which advances the state of the art by producing single-core performance that approaches that of Bélády’s MIN policy, and which does so with a surprisingly simple solution. The basic idea is to predict a line’s reuse distance so that when a line is inserted into the last-level cache, its estimated time of arrival (ETA) can be computed. The lines are then evicted based on their ETA ordering. This article describes the Mockingjay policy and explains the key ideas that make it successful.","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3275079","10.1109/MM.2023.3275079","2023-07-01","2026-04-08","",""
"doi:10.1109/MM.2023.3273489","","4589d53e04ea82e77e0d5efea20db0736b1a6a9e","Revisiting Residue Codes for Modern Memories","Evgeny Manzhosov","2023","IEEE-MICRO","This article shows how residue codes, traditionally used for compute rather than storage error correction, can be applied to memories with surprising results. We show that adapting residue codes to modern memory systems offers a level of error correction comparable to those of traditional schemes, such as Reed–Solomon, but with fewer bits of storage. For instance, our adaptation of residue codes—multiuse error-correcting code (MUSE ECC)—can offer ChipKill protection using approximately 30% fewer bits. We use the storage gains to hold the metadata needed for emerging security functionality, such as memory tagging, or to provide better detection capabilities against Rowhammer attacks. In a system with memory tagging and MUSE, we achieve a 12% reduction in memory bandwidth utilization with the same error correction level as a traditional ECC baseline and without a noticeable performance loss. Thus, our work demonstrates a new, flexible primitive for co-designing reliability with security and performance.","dblp","Computer Science","0","https://doi.org/10.1109/MM.2023.3273489","10.1109/MM.2023.3273489","2023-07-01","2026-04-08","",""
"doi:10.1109/MM.2023.3274993","","7fb7b5f859013411ea05f4a1feb71cfb52697bb2","HeteroGen: Automatic Synthesis of Heterogeneous Cache Coherence Protocols","Nicolai Oswald","2023","IEEE-MICRO","We address the two challenges architects face when designing heterogeneous processors with cache-coherent shared memory. First, we introduce HeteroGen, an automated tool for composing clusters of cores, each with its own coherence protocol. Second, we show that the output of HeteroGen conforms to a precisely defined memory consistency model that we call a compound consistency model. We also demonstrate that HeteroGen can correctly fuse a wide range of coherence protocols. Our experiments indicate that protocols generated by HeteroGen perform comparably to a publicly available manually generated heterogeneous protocol.","dblp","Computer Science","1","https://doi.org/10.1109/MM.2023.3274993","10.1109/MM.2023.3274993","2023-07-01","2026-04-08","",""
